  3.14775449E-05  1.11206564E-03  3.53462163E-04  1.61959614E-03  1.66405941E-03  1.77405842E-03  1.88526441E-03  3.62718370E-03  4.97055194E-02  9.53345352E-01
  2.48756997E-06  9.67385034E-04  1.77875675E-03  9.56362097E-04  5.53522767E-04  5.34357299E-04  1.13305197E-03  4.81551864E-03  8.28846655E-03  2.28357112E-01
  2.59414809E-05  4.78418616E-04  6.72207836E-04  1.77986772E-05  1.93629532E-04  2.44305195E-04  1.90018009E-04  1.74172759E-03  9.09003855E-03  2.13856964E-01
  1.07208187E-05  1.29687038E-03  3.00372164E-03  1.73564205E-03  1.04925729E-03  9.44979220E-04  1.42323400E-03  5.83642731E-03  2.56209114E-02  1.55150905E-01
  2.50007680E-05  1.54674138E-03  3.59589532E-03  2.34477105E-03  1.52638357E-03  1.35714251E-03  1.79936289E-03  6.31147453E-03  2.94268907E-02  3.72452984E-02
  5.33004455E-05  1.15629307E-03  2.17702422E-03  1.45055056E-03  8.74537932E-04  6.84003529E-04  7.68180033E-04  3.27474687E-03  1.73305050E-02  2.17333586E-02
  8.90459527E-05  6.77157347E-05  1.53836601E-03  1.07956850E-03  1.01406413E-03  1.19183832E-03  1.86017051E-03  4.05155061E-03  1.37390696E-02  6.20888460E-02
  1.11634307E-04  9.90876587E-04  5.06586243E-03  3.52864446E-03  2.85679035E-03  2.99957298E-03  4.32351439E-03  1.08468653E-02  4.31027590E-02  7.03396797E-02
  1.37099007E-04  2.62254600E-03  1.04148508E-02  7.26695634E-03  5.68097295E-03  5.75213555E-03  8.02823278E-03  2.10575358E-02  8.75373304E-02  6.40920875E-02
  1.44916525E-04  3.24496517E-03  1.24340357E-02  8.68106398E-03  6.75149815E-03  6.79196312E-03  9.42034931E-03  2.48983033E-02  1.04292801E-01  5.86687265E-02
